timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi)
11/9/2022 7:12:00 AM,61.59999847,3.099999905,6,0.569999993,10.60000038,104.8000031
11/9/2022 7:33:00 AM,72.5,3.700000048,6.199999809,0.569999993,10.30000019,111.8000031
11/9/2022 7:49:00 AM,75.80000305,3.700000048,5.599999905,0.550000012,10.30000019,123.9000015
11/9/2022 7:50:00 AM,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015
11/9/2022 7:51:00 AM,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015
11/9/2022 7:52:00 AM,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015
11/9/2022 7:53:00 AM,77.90000153,4,5.599999905,0.600000024,11.10000038,106.4000015
11/9/2022 8:13:00 AM,62.79999924,3.700000048,6.099999905,0.479999989,8.600000381,136.6000061
11/9/2022 8:33:00 AM,80.30000305,3.099999905,9.100000381,0.540000021,12.30000019,150.8999939
11/9/2022 8:52:00 AM,87.80000305,3.5,7.300000191,0,7.699999809,61.59999847
11/9/2022 8:53:00 AM,85.59999847,2.200000048,7.699999809,0.07,7.699999809,66.59999847
11/9/2022 8:55:00 AM,85.59999847,2.200000048,7.699999809,0.07,7.699999809,66.59999847
11/9/2022 8:56:00 AM,85.59999847,2.200000048,7.699999809,0.07,7.699999809,66.59999847
11/9/2022 8:59:00 AM,85.59999847,2.200000048,7.699999809,0.07,7.699999809,66.59999847
11/9/2022 9:00:00 AM,72.80000305,68.80000305,5.699999809,0.649999976,9.699999809,108.8000031
11/9/2022 9:02:00 AM,72.80000305,68.80000305,5.699999809,0.649999976,9.699999809,108.8000031
11/9/2022 9:03:00 AM,72.80000305,68.80000305,5.699999809,0.649999976,9.699999809,108.8000031
11/9/2022 9:08:00 AM,67.30000305,67.30000305,6.599999905,0.639999986,10.60000038,106.4000015
11/9/2022 9:13:00 AM,67.30000305,67.30000305,6.599999905,0.639999986,10.60000038,106.4000015
11/9/2022 9:32:00 AM,67.90000153,60.5,6,0.540000021,11.80000019,120.0999985
11/9/2022 9:52:00 AM,74.40000153,63,6.099999905,0.610000014,10.39999962,108.8000031
11/9/2022 10:13:00 AM,67.40000153,58.29999924,6.699999809,0.540000021,10.5,117.0999985
11/9/2022 10:22:00 AM,68.40000153,61.20000076,6.300000191,0.639999986,10.10000038,131.8999939
11/9/2022 10:23:00 AM,68.40000153,61.20000076,6.300000191,0.639999986,10.10000038,131.8999939
11/9/2022 10:24:00 AM,68.40000153,61.20000076,6.300000191,0.639999986,10.10000038,131.8999939
11/9/2022 10:25:00 AM,68.40000153,61.20000076,6.300000191,0.639999986,10.10000038,131.8999939
11/9/2022 10:33:00 AM,72.40000153,53.09999847,5.800000191,0.589999974,10.10000038,126.0999985
11/9/2022 10:53:00 AM,62.90000153,53.70000076,6,0.620000005,10.5,111.0999985
11/9/2022 11:12:00 AM,69.40000153,47.40000153,5.699999809,0.620000005,10.10000038,113.0999985
11/9/2022 11:13:00 AM,69.40000153,47.40000153,5.699999809,0.620000005,10.10000038,113.0999985
11/9/2022 11:27:00 AM,61.09999847,46.70000076,5.699999809,0.589999974,11.5,119.5
11/9/2022 11:33:00 AM,63.70000076,51.70000076,6.599999905,0.610000014,11.5,126.0999985
11/9/2022 11:41:00 AM,66.19999695,54.20000076,5.599999905,0.569999993,11.30000019,131.6999969
11/9/2022 11:53:00 AM,62.5,45.59999847,6.199999809,0.579999983,10.39999962,128.3000031
11/9/2022 11:54:00 AM,62.5,45.59999847,6.199999809,0.579999983,10.39999962,128.3000031
11/9/2022 12:04:00 PM,63.70000076,51.40000153,6.300000191,0.600000024,11,116.5
11/9/2022 12:13:00 PM,171.5,67,6.199999809,0.649999976,10.19999981,115.8000031
11/9/2022 12:14:00 PM,166.8999939,64.40000153,6.199999809,0.579999983,9.899999619,125.5
11/9/2022 12:32:00 PM,142.5,62.09999847,6.699999809,0.600000024,10.10000038,128.1000061
11/9/2022 12:52:00 PM,141.3000031,61.29999924,6.099999905,0.579999983,11.10000038,119.4000015
11/9/2022 12:55:00 PM,141.3000031,61.29999924,6.099999905,0.579999983,11.10000038,119.4000015
11/9/2022 12:55:00 PM,141.3000031,61.29999924,6.099999905,0.579999983,11.10000038,119.4000015
11/9/2022 12:58:00 PM,164.3999939,56.40000153,6.199999809,0.560000002,10,118.4000015
11/9/2022 12:58:00 PM,164.3999939,56.40000153,6.199999809,0.560000002,10,118.4000015
11/9/2022 1:09:00 PM,164.3999939,56.40000153,6.199999809,0.560000002,10,118.4000015
11/9/2022 1:33:00 PM,152.6999969,60.09999847,6.300000191,0.629999995,11.19999981,116.5
11/9/2022 1:53:00 PM,147.3999939,52.20000076,5.900000095,0.649999976,10,125.5999985
11/9/2022 2:13:00 PM,145.8000031,53.29999924,6.400000095,0.560000002,10.89999962,109.0999985
11/9/2022 2:33:00 PM,144,52.79999924,6.699999809,0.560000002,10.60000038,111.4000015
11/9/2022 2:53:00 PM,145.1000061,54.20000076,5.5,0.569999993,10.89999962,126.1999969
11/9/2022 3:02:00 PM,153.1000061,45.59999847,6.400000095,0.579999983,10.80000019,105.0999985
11/9/2022 3:12:00 PM,160.3000031,51.90000153,6.800000191,0.610000014,11.19999981,124.1999969
11/9/2022 3:32:00 PM,71.40000153,3.599999905,5.599999905,0.629999995,11.60000038,106.6999969
11/9/2022 3:53:00 PM,67,3.700000048,5.599999905,0.540000021,10.80000019,122.1999969
11/9/2022 4:09:00 PM,69.69999695,3.799999952,6.699999809,0.649999976,11.19999981,106.0999985
11/9/2022 4:10:00 PM,69.69999695,3.799999952,6.699999809,0.649999976,11.19999981,106.0999985
11/9/2022 4:11:00 PM,72.40000153,3.5,5.900000095,0.649999976,11.19999981,110.0999985
11/9/2022 4:12:00 PM,72.40000153,3.5,5.900000095,0.649999976,11.19999981,110.0999985
11/9/2022 4:13:00 PM,72.40000153,3.5,5.900000095,0.649999976,11.19999981,110.0999985
11/9/2022 4:33:00 PM,68.30000305,3.799999952,6.599999905,0.519999981,9.100000381,147.6000061
11/9/2022 4:53:00 PM,69,3.400000095,7,0.49000001,9,135.1000061
11/9/2022 5:13:00 PM,72.80000305,3.299999952,7.400000095,0,10.30000019,22
11/9/2022 5:19:00 PM,86.80000305,3.299999952,8,0,8.100000381,67.69999695
11/9/2022 5:27:00 PM,86.80000305,3.299999952,8,0,8.100000381,67.69999695
11/9/2022 5:31:00 PM,76.80000305,2.900000095,6.800000191,0.25999999,8,71.5
11/9/2022 5:32:00 PM,76.80000305,2.900000095,6.800000191,0.25999999,8,71.5
11/9/2022 5:33:00 PM,76.80000305,2.900000095,6.800000191,0.25999999,8,71.5
11/9/2022 5:34:00 PM,76.80000305,2.900000095,6.800000191,0.25999999,8,71.5
11/9/2022 5:34:00 PM,76.80000305,2.900000095,6.800000191,0.25999999,8,71.5
11/9/2022 5:37:00 PM,67.59999847,69.5,5.900000095,0.610000014,11.5,109.5
11/9/2022 5:52:00 PM,75.5,67.80000305,6.699999809,0.620000005,10.80000019,111.3000031
11/9/2022 6:12:00 PM,74.19999695,56,5.800000191,0.620000005,11.5,117.9000015
11/9/2022 6:33:00 PM,69.80000305,61.90000153,6.199999809,0.579999983,11,111.0999985
11/9/2022 6:42:00 PM,63.70000076,61.09999847,5.699999809,0.560000002,9.699999809,122.0999985
11/9/2022 6:44:00 PM,73.5,58.70000076,6.300000191,0.639999986,10.60000038,120
11/9/2022 6:49:00 PM,72.09999847,52.40000153,6.400000095,0.560000002,11,115.3000031
11/9/2022 6:53:00 PM,72.09999847,52.40000153,6.400000095,0.560000002,11,115.3000031
11/9/2022 7:13:00 PM,72,55.20000076,5.599999905,0.629999995,10.89999962,110.5
11/9/2022 7:33:00 PM,61.90000153,56.59999847,5.5,0.569999993,11.60000038,125.0999985
11/9/2022 7:53:00 PM,66.09999847,52,6,0.569999993,10.30000019,131.5
11/9/2022 7:56:00 PM,63.29999924,53.29999924,6.099999905,0.600000024,9.899999619,114
11/9/2022 8:13:00 PM,71.30000305,50.79999924,6.699999809,0.589999974,11.19999981,124.3000031
11/9/2022 8:32:00 PM,66.69999695,45.40000153,6.599999905,0.600000024,11.89999962,123.9000015
11/9/2022 8:52:00 PM,152.5,61.5,6.699999809,0.629999995,9.800000191,118
11/9/2022 9:13:00 PM,171.6999969,59.40000153,6.400000095,0.610000014,10.60000038,124.9000015
11/9/2022 9:15:00 PM,171.6999969,59.40000153,6.400000095,0.610000014,10.60000038,124.9000015
11/9/2022 9:15:00 PM,171.6999969,59.40000153,6.400000095,0.610000014,10.60000038,124.9000015
