timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),Gas Lock,State,Dif
9/11/2022 5:53,1508.000031,560.9999847,58.00000191,56.9999993,101.0000038,1296.999969,0,CLEAR,13.63333333
9/11/2022 6:13,1581.999969,467.9999924,60,54.0000021,110,1310,0,CLEAR,20.08333333
9/11/2022 6:26,1606.999969,494.0000153,59.00000095,66.0000026,105,1171.999969,0,CLEAR,12.91666667
9/11/2022 6:32,1338.999939,517.9999924,65,56.0000002,113.9999962,1213.000031,0,CLEAR,5.733333333
9/11/2022 6:33,1338.999939,517.9999924,65,56.0000002,113.9999962,1213.000031,0,CLEAR,1.433333333
9/11/2022 6:40,1503.999939,454.0000153,58.00000191,62.9999995,118.0000019,1220,0,CLEAR,7.183333333
9/11/2022 6:52,670,40,60,63.9999986,113.0000019,1235,0,HI,12.2
9/11/2022 7:12,615.9999847,30.99999905,60,56.9999993,106.0000038,1048.000031,0,CLEAR,20.08333333
9/11/2022 7:33,725,37.00000048,61.99999809,56.9999993,103.0000019,1118.000031,0,CLEAR,20.08333333
9/11/2022 7:49,758.0000305,37.00000048,55.99999905,55.0000012,103.0000019,1239.000015,0,CLEAR,16.5
9/11/2022 7:50,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015,0,CLEAR,0.716666667
9/11/2022 7:51,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015,0,CLEAR,1.433333333
9/11/2022 7:52,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015,0,CLEAR,0.716666667
9/11/2022 7:53,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015,0,CLEAR,0.716666667
9/11/2022 8:13,627.9999924,37.00000048,60.99999905,47.9999989,86.00000381,1366.000061,0,HI,20.1
9/11/2022 8:33,803.0000305,30.99999905,91.00000381,54.0000021,123.0000019,1508.999939,0,HI,20.08333333
9/11/2022 8:52,878.0000305,35,73.00000191,0,76.99999809,615.9999847,0,HI,19.36666667
9/11/2022 8:53,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847,0,HI,0.716666667
9/11/2022 8:55,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847,0,HI,2.15
9/11/2022 8:56,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847,0,HI,0.716666667
9/11/2022 8:59,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847,0,HI,3.6
9/11/2022 9:00,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031,0,CLEAR,0.716666667
9/11/2022 9:02,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031,0,CLEAR,2.15
9/11/2022 9:03,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031,0,CLEAR,0.716666667
9/11/2022 9:08,673.0000305,673.0000305,65.99999905,63.9999986,106.0000038,1064.000015,0,CLEAR,5.016666667
9/11/2022 9:13,673.0000305,673.0000305,65.99999905,63.9999986,106.0000038,1064.000015,0,CLEAR,5.016666667
9/11/2022 9:32,679.0000153,605,60,54.0000021,118.0000019,1200.999985,0,CLEAR,19.38333333
9/11/2022 9:52,744.0000153,630,60.99999905,61.0000014,103.9999962,1088.000031,0,CLEAR,20.08333333
9/11/2022 10:13,674.0000153,582.9999924,66.99999809,54.0000021,105,1170.999985,0,CLEAR,20.08333333
9/11/2022 10:22,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939,0,CLEAR,9.333333333
9/11/2022 10:23,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939,0,CLEAR,0.716666667
9/11/2022 10:24,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939,0,CLEAR,1.433333333
9/11/2022 10:25,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939,0,CLEAR,0.716666667
9/11/2022 10:33,724.0000153,530.9999847,58.00000191,58.9999974,101.0000038,1260.999985,0,CLEAR,7.883333333
9/11/2022 10:53,629.0000153,537.0000076,60,62.0000005,105,1110.999985,0,CLEAR,20.1
9/11/2022 11:12,694.0000153,474.0000153,56.99999809,62.0000005,101.0000038,1130.999985,0,CLEAR,19.36666667
