timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi)
11/9/2022 7:33:00 AM,725,37.00000048,61.99999809,56.9999993,103.0000019,1118.000031
11/9/2022 7:49:00 AM,758.0000305,37.00000048,55.99999905,55.0000012,103.0000019,1239.000015
11/9/2022 7:50:00 AM,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015
11/9/2022 7:51:00 AM,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015
11/9/2022 7:52:00 AM,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015
11/9/2022 7:53:00 AM,779.0000153,40,55.99999905,60.0000024,111.0000038,1064.000015
11/9/2022 8:13:00 AM,627.9999924,37.00000048,60.99999905,47.9999989,86.00000381,1366.000061
11/9/2022 8:33:00 AM,803.0000305,30.99999905,91.00000381,54.0000021,123.0000019,1508.999939
11/9/2022 8:52:00 AM,878.0000305,35,73.00000191,0,76.99999809,615.9999847
11/9/2022 8:53:00 AM,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847
11/9/2022 8:55:00 AM,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847
11/9/2022 8:56:00 AM,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847
11/9/2022 8:59:00 AM,855.9999847,22.00000048,76.99999809,7,76.99999809,665.9999847
11/9/2022 9:00:00 AM,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031
11/9/2022 9:02:00 AM,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031
11/9/2022 9:03:00 AM,728.0000305,688.0000305,56.99999809,64.9999976,96.99999809,1088.000031
11/9/2022 9:08:00 AM,673.0000305,673.0000305,65.99999905,63.9999986,106.0000038,1064.000015
11/9/2022 9:13:00 AM,673.0000305,673.0000305,65.99999905,63.9999986,106.0000038,1064.000015
11/9/2022 9:32:00 AM,679.0000153,605,60,54.0000021,118.0000019,1200.999985
11/9/2022 9:52:00 AM,744.0000153,630,60.99999905,61.0000014,103.9999962,1088.000031
11/9/2022 10:13:00 AM,674.0000153,582.9999924,66.99999809,54.0000021,105,1170.999985
11/9/2022 10:22:00 AM,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939
11/9/2022 10:23:00 AM,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939
11/9/2022 10:24:00 AM,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939
11/9/2022 10:25:00 AM,684.0000153,612.0000076,63.00000191,63.9999986,101.0000038,1318.999939
11/9/2022 10:33:00 AM,724.0000153,530.9999847,58.00000191,58.9999974,101.0000038,1260.999985
11/9/2022 10:53:00 AM,629.0000153,537.0000076,60,62.0000005,105,1110.999985
11/9/2022 11:12:00 AM,694.0000153,474.0000153,56.99999809,62.0000005,101.0000038,1130.999985
11/9/2022 11:13:00 AM,694.0000153,474.0000153,56.99999809,62.0000005,101.0000038,1130.999985
11/9/2022 11:27:00 AM,610.9999847,467.0000076,56.99999809,58.9999974,115,1195
11/9/2022 11:33:00 AM,637.0000076,517.0000076,65.99999905,61.0000014,115,1260.999985
11/9/2022 11:41:00 AM,661.9999695,542.0000076,55.99999905,56.9999993,113.0000019,1316.999969
11/9/2022 11:53:00 AM,625,455.9999847,61.99999809,57.9999983,103.9999962,1283.000031
11/9/2022 11:54:00 AM,625,455.9999847,61.99999809,57.9999983,103.9999962,1283.000031
11/9/2022 12:04:00 PM,637.0000076,514.0000153,63.00000191,60.0000024,110,1165
11/9/2022 12:13:00 PM,1715,670,61.99999809,64.9999976,101.9999981,1158.000031
11/9/2022 12:14:00 PM,1668.999939,644.0000153,61.99999809,57.9999983,98.99999619,1255
11/9/2022 12:32:00 PM,1425,620.9999847,66.99999809,60.0000024,101.0000038,1281.000061
11/9/2022 12:52:00 PM,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015
11/9/2022 12:55:00 PM,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015
11/9/2022 12:55:00 PM,1413.000031,612.9999924,60.99999905,57.9999983,111.0000038,1194.000015
