timestamp,Discharge Pressure(psi),Average Amps(Amps),Intake Temperature(F),Drive Frequency(Hz),Motor Temperature(F),Intake Pressure(psi),State
11/9/2022 11:54:00 AM,625,455,61,57,103,1283,HI
11/9/2022 12:04:00 PM,637,514,63,60,110,1165,CLEAR
11/9/2022 12:13:00 PM,1715,670,61,64,101,1158,CLEAR
11/9/2022 12:14:00 PM,1668,644,61,57,98,1255,CLEAR
11/9/2022 12:32:00 PM,1425,620,66,60,101,1281,CLEAR
11/9/2022 12:52:00 PM,1413,612,60,57,111,1194,CLEAR
11/9/2022 12:55:00 PM,1413,612,60,57,111,1194,CLEAR
11/9/2022 12:55:00 PM,1413,612,60,57,111,1194,CLEAR
11/9/2022 12:58:00 PM,1643,564,61,56,100,1184,CLEAR
11/9/2022 12:58:00 PM,1643,564,61,56,100,1184,CLEAR
11/9/2022 1:09:00 PM,1643,564,61,56,100,1184,CLEAR
11/9/2022 1:33:00 PM,1526,600,63,62,111,1165,CLEAR
11/9/2022 1:53:00 PM,1473,522,59,64,100,1255,CLEAR
11/9/2022 2:13:00 PM,1458,532,64,56,108,1090,CLEAR
11/9/2022 2:33:00 PM,1440,527,66,56,106,1114,CLEAR
11/9/2022 2:53:00 PM,1451,542,55,56,108,1261,CLEAR
11/9/2022 3:02:00 PM,1531,455,64,57,108,1050,CLEAR
11/9/2022 3:12:00 PM,1603,519,68,61,111,1241,CLEAR
11/9/2022 3:32:00 PM,714,35,55,62,116,1066,CLEAR
11/9/2022 3:53:00 PM,670,37,55,54,108,1221,CLEAR
11/9/2022 4:09:00 PM,696,37,66,64,111,1060,CLEAR
11/9/2022 4:10:00 PM,696,37,66,64,111,1060,CLEAR
11/9/2022 4:11:00 PM,724,35,59,64,111,1100,CLEAR
11/9/2022 4:12:00 PM,724,35,59,64,111,1100,CLEAR
11/9/2022 4:13:00 PM,724,35,59,64,111,1100,CLEAR
11/9/2022 4:33:00 PM,683,37,65,51,91,1476,CLEAR
11/9/2022 4:53:00 PM,690,34,70,49,90,1351,CLEAR
11/9/2022 5:13:00 PM,728,32,74,0,103,220,CLEAR
11/9/2022 5:19:00 PM,868,32,80,0,81,676,CLEAR
11/9/2022 5:27:00 PM,868,32,80,0,81,676,CLEAR
11/9/2022 5:31:00 PM,768,29,68,25,80,715,CLEAR
11/9/2022 5:32:00 PM,768,29,68,25,80,715,CLEAR
11/9/2022 5:33:00 PM,768,29,68,25,80,715,CLEAR
11/9/2022 5:34:00 PM,768,29,68,25,80,715,CLEAR
11/9/2022 5:34:00 PM,768,29,68,25,80,715,CLEAR
11/9/2022 5:37:00 PM,675,695,59,61,115,1095,CLEAR
11/9/2022 5:52:00 PM,755,678,66,62,108,1113,CLEAR
11/9/2022 6:12:00 PM,741,560,58,62,115,1179,CLEAR
11/9/2022 6:33:00 PM,698,619,61,57,110,1110,CLEAR
11/9/2022 6:42:00 PM,637,610,56,56,96,1220,CLEAR
11/9/2022 6:44:00 PM,735,587,63,63,106,1200,CLEAR
11/9/2022 6:49:00 PM,720,524,64,56,110,1153,CLEAR
11/9/2022 6:53:00 PM,720,524,64,56,110,1153,CLEAR
11/9/2022 7:13:00 PM,720,552,55,62,108,1105,CLEAR
11/9/2022 7:33:00 PM,619,565,55,56,116,1250,HI
11/9/2022 7:53:00 PM,660,520,60,56,103,1315,HI
11/9/2022 7:56:00 PM,632,532,60,60,98,1140,CLEAR
11/9/2022 8:13:00 PM,713,507,66,58,111,1243,CLEAR
11/9/2022 8:32:00 PM,666,454,65,60,118,1239,HI
11/9/2022 8:52:00 PM,1525,615,66,62,98,1180,CLEAR
