Date,Qo,Qt,wc,GLIR
7/28/2022,136.31,301.33,0.55,836
7/29/2022,134.62,298.86,0.55,999
7/30/2022,133.99,300.26,0.55,999
7/31/2022,132.8,298.36,0.55,999
8/1/2022,120.29,282.01,0.57,999
8/2/2022,126.65,289.35,0.56,932
8/3/2022,123.4,286.42,0.57,868
8/4/2022,147.06,313.13,0.53,868
8/5/2022,134.99,278.29,0.51,851
8/6/2022,131.57,295.03,0.55,851
8/7/2022,138.23,300.41,0.54,750
8/8/2022,189.54,352.17,0.46,551
8/9/2022,136.3,290.32,0.53,551
8/10/2022,125.01,265.31,0.53,750
8/11/2022,142.43,306.25,0.53,790
8/12/2022,136.56,299.51,0.54,790
8/13/2022,136.4,296.91,0.54,785
8/14/2022,132.41,295.67,0.55,783
